t,u1,u2,zT1,zT2
0.025,0.0,1.0,1.0372138263591027e-07,5.037078493764667e-07
0.02525,0.0,1.0,2.0609191962959473e-07,5.17980617790207e-07
0.025500000000000002,0.0,1.0,1.4096942854429735e-07,4.7542126022539496e-07
0.025750000000000002,0.0,1.0,1.340377438025746e-07,6.021526347350253e-07
0.026000000000000002,0.0,1.0,1.7455482264490776e-07,5.714892085647589e-07
0.02625,0.0,1.0,1.8684681154353277e-07,6.062063494227422e-07
0.0265,0.0,1.0,1.6805453168710389e-07,5.496441727587231e-07
0.02675,0.0,1.0,2.316225245763942e-07,6.205663299816255e-07
0.027,0.0,1.0,2.7701817090689383e-07,6.483177246318294e-07
0.02725,0.0,1.0,2.589304410214332e-07,6.48028431971215e-07
0.0275,0.0,1.0,2.3210162585400777e-07,7.526200666552852e-07
0.02775,0.0,1.0,2.731387253133396e-07,7.878216258761102e-07
0.028,0.0,1.0,2.7073734673502757e-07,7.226111023437967e-07
0.02825,0.0,1.0,3.50682378793092e-07,7.535511689435532e-07
0.0285,0.0,1.0,3.403165479650657e-07,8.109648683554669e-07
0.02875,0.0,1.0,3.397473123291807e-07,8.612003343366259e-07
0.029,0.0,1.0,3.4692054966339416e-07,8.087486595844498e-07
0.02925,0.0,1.0,3.47434661039667e-07,8.855703260369576e-07
0.029500000000000002,0.0,1.0,4.315470095590655e-07,9.77849914980884e-07
0.029750000000000002,0.0,1.0,4.0141517145741003e-07,9.590331325580776e-07
0.03,0.0,1.0,4.193886313281428e-07,9.740594232412985e-07
0.03025,0.0,1.0,4.728183920265104e-07,1.0275477039050808e-06
0.0305,0.0,1.0,4.092632618724965e-07,1.0130862572749445e-06
0.03075,0.0,1.0,4.5018807628103843e-07,1.028329862592432e-06
0.031,0.0,1.0,4.77002361161961e-07,1.0756670866705263e-06
0.03125,0.0,1.0,4.146007009077252e-07,1.1013838498887484e-06
0.0315,0.0,1.0,4.545734665582885e-07,1.1350444953630354e-06
0.03175,0.0,1.0,4.5423627514849193e-07,1.1524848758862875e-06
0.032,0.0,1.0,4.635392028619555e-07,1.1186135393333503e-06
0.03225,0.0,1.0,4.5964075723248063e-07,1.1359557901900538e-06
0.0325,0.0,1.0,5.440915767727254e-07,1.1810426901337474e-06
0.03275,0.0,1.0,4.5919001157260027e-07,1.1344777114832698e-06
0.033,0.0,1.0,4.098274471299476e-07,1.1993847333869095e-06
0.03325,0.0,1.0,5.204671678579108e-07,1.2107361544435661e-06
0.0335,0.0,1.0,5.114144362593538e-07,1.163706111918856e-06
0.03375,0.0,1.0,4.878387461232844e-07,1.156224249965113e-06
0.034,0.0,1.0,5.163129630896392e-07,1.204790155697221e-06
0.03425,0.0,1.0,4.872704461210202e-07,1.1728415603502551e-06
0.0345,0.0,1.0,4.6832320301301643e-07,1.1807760483973878e-06
0.03475,0.0,1.0,4.101317679007713e-07,1.2233183868143815e-06
0.035,0.0,1.0,4.714277264145571e-07,1.1871158143037255e-06
0.035250000000000004,0.0,1.0,4.3230031158529414e-07,1.1793280142262038e-06
0.035500000000000004,0.0,1.0,4.035945469287289e-07,1.1876339597795345e-06
0.035750000000000004,0.0,1.0,4.90493309821257e-07,1.12722367328567e-06
0.036000000000000004,0.0,1.0,3.773887073322736e-07,1.1392782497297327e-06
0.03625,0.0,1.0,4.338140644453717e-07,1.1045963067494473e-06
0.0365,0.0,1.0,3.9478377697881833e-07,1.1567342839279966e-06
0.03675,0.0,1.0,4.0598099202093753e-07,1.0525000420935739e-06
0.037,0.0,1.0,4.055133837082519e-07,1.036649249517616e-06
0.03725,0.0,1.0,4.182130552029014e-07,1.0275441348978688e-06
0.0375,0.0,1.0,3.536176391825821e-07,1.02655550128063e-06
0.03775,0.0,1.0,4.13190920344615e-07,9.74092076948718e-07
0.038,0.0,1.0,3.787211420809883e-07,1.0036868784464483e-06
0.03825,0.0,1.0,3.529714791206636e-07,9.518476202433895e-07
0.0385,0.0,1.0,3.507698387692221e-07,9.033940914320952e-07
0.03875,0.0,1.0,3.8143450237877044e-07,8.831798018710705e-07
0.039,0.0,1.0,2.482940803860734e-07,8.879534287224478e-07
0.03925,0.0,1.0,2.811185531595844e-07,8.330272958874122e-07
0.0395,0.0,1.0,2.819781012138559e-07,8.883647543889647e-07
0.03975,0.0,1.0,2.429483723553342e-07,8.578439708453933e-07
0.04,0.0,1.0,2.4422243427448896e-07,8.68210966392981e-07
0.04025,0.0,1.0,2.4881024179147086e-07,8.130121908868876e-07
0.0405,0.0,1.0,2.44878687763394e-07,7.690808410933948e-07
0.04075,0.0,1.0,2.1831150892607533e-07,8.233302167560449e-07
0.041,0.0,1.0,2.6916371237271083e-07,8.152528340324446e-07
0.04125,0.0,1.0,1.9709203344155877e-07,6.826714303928134e-07
0.0415,0.0,1.0,2.2215626735116926e-07,7.344448160149381e-07
0.04175,0.0,1.0,1.5035143403517668e-07,6.61954045858135e-07
0.042,0.0,1.0,1.781241438033928e-07,7.11291798434491e-07
0.04225,0.0,1.0,1.7158223298251177e-07,6.785012193662443e-07
0.0425,0.0,1.0,1.0016701138802464e-07,6.933024397465401e-07
0.04275,0.0,1.0,1.7631763420555309e-07,6.620831493580073e-07
0.043000000000000003,0.0,1.0,1.2379283721187025e-07,6.705839083202382e-07
0.043250000000000004,0.0,1.0,1.0643290414244461e-07,7.019654974129504e-07
0.043500000000000004,0.0,1.0,4.715121749094742e-08,6.328218429168906e-07
0.043750000000000004,0.0,1.0,1.5524964822118964e-07,6.466495861990792e-07
0.044,0.0,1.0,1.168597933617039e-07,6.071228202010953e-07
0.04425,0.0,1.0,1.1807211384741279e-07,6.532230469966591e-07
0.0445,0.0,1.0,1.0036803512890924e-07,6.222973577267632e-07
0.04475,0.0,1.0,1.155428490951876e-07,5.938733210076439e-07
0.045,0.0,1.0,1.3970010094637427e-07,6.565613229321663e-07
0.04525,0.0,1.0,8.406018966753388e-08,6.078962221275706e-07
0.0455,0.0,1.0,1.2473151497312054e-07,6.367829147486518e-07
0.04575,0.0,1.0,1.5847774968097242e-07,6.079436857218132e-07
0.046,0.0,1.0,1.135461816117276e-07,6.016867016468078e-07
0.04625,0.0,1.0,2.0914085900201835e-07,6.179391518026669e-07
0.0465,0.0,1.0,1.5941150534678305e-07,6.979699066107006e-07
0.04675,0.0,1.0,1.353989169155386e-07,6.591513912156204e-07
0.047,0.0,1.0,1.8940885339810286e-07,6.587109314855417e-07
0.04725,0.0,1.0,1.518517828476495e-07,6.850434555172443e-07
0.0475,0.0,1.0,9.560475515221036e-08,7.02016739900556e-07
0.04775,0.0,1.0,1.1693277030104544e-07,6.890901763790547e-07
0.048,0.0,1.0,1.8497800347632608e-07,7.047482997589358e-07
0.04825,0.0,1.0,2.0998009257300434e-07,7.688073778076757e-07
0.0485,0.0,1.0,1.6457905089634409e-07,7.575096912656134e-07
0.04875,0.0,1.0,2.121973251492753e-07,7.197224093653831e-07
0.049,0.0,1.0,2.391284220406272e-07,7.644825138303635e-07
0.04925,0.0,1.0,1.5990220330162975e-07,7.779299283423151e-07
0.0495,0.0,1.0,2.2491273679243092e-07,8.055720937200405e-07
0.04975,0.0,1.0,2.1736696807785544e-07,7.650046777942528e-07
0.05,0.0,1.0,2.619357988603931e-07,8.074100030557958e-07
0.05025,0.0,1.0,2.7799747111887415e-07,7.948118016566766e-07
0.0505,0.0,1.0,2.4946374861074406e-07,8.160039764384107e-07
0.05075,0.0,1.0,3.129162200297818e-07,7.946826249708542e-07
0.051000000000000004,0.0,1.0,3.21366989756185e-07,8.35569554844776e-07
0.051250000000000004,0.0,1.0,2.870582755924862e-07,8.902804449806564e-07
0.051500000000000004,0.0,1.0,3.03809164285531e-07,9.081123260898261e-07
0.051750000000000004,0.0,1.0,3.782655226017716e-07,9.458835774406688e-07
0.052000000000000005,0.0,1.0,3.758376764627147e-07,9.094477939342732e-07
0.05225,0.0,1.0,3.572488861369142e-07,8.888951690577749e-07
0.0525,0.0,1.0,3.839035404872688e-07,9.236751173165348e-07
0.05275,0.0,1.0,3.903007149067566e-07,8.851301163761958e-07
0.053,0.0,1.0,3.985715297507498e-07,9.375141968411985e-07
0.05325,0.0,1.0,3.956463655937185e-07,9.290637609336439e-07
0.0535,0.0,1.0,4.3585131145246914e-07,9.957447350196804e-07
0.05375,0.0,1.0,3.8092265198933806e-07,9.9916493316723e-07
0.054,0.0,1.0,3.8962753090814284e-07,1.0119091628737647e-06
0.05425,0.0,1.0,3.9553499703773454e-07,1.0206997889413216e-06
0.0545,0.0,1.0,4.307185491879228e-07,9.915319980583542e-07
0.05475,0.0,1.0,4.5638355296950664e-07,1.03504215379825e-06
0.055,0.0,1.0,4.148042690165225e-07,1.0089671525442403e-06
0.05525,0.0,1.0,4.2171830692655117e-07,1.0367702764595322e-06
0.0555,0.0,1.0,4.973536194883836e-07,1.057223542852179e-06
0.05575,0.0,1.0,3.871862780147915e-07,1.0156595244980535e-06
0.056,0.0,1.0,4.5747720227853297e-07,1.065477553432439e-06
0.05625,0.0,1.0,4.4328487737808554e-07,9.86271601547315e-07
0.0565,0.0,1.0,4.259184995572826e-07,1.033645645529753e-06
0.05675,0.0,1.0,3.817858609446034e-07,1.0804564012948551e-06
0.057,0.0,1.0,4.233051239750374e-07,9.715427739789348e-07
0.05725,0.0,1.0,4.3768593429232e-07,1.0641235917820622e-06
